date,2021,2022,2023,2024,2025,2026,2027,2028
2021-05-01,5.234999999999999,5.5,5.5,,,,,
2021-07-01,5.51,6.0,5.5,,,,,
2021-09-01,5.66,6.25,5.5,,,,,
2021-10-01,5.7,6.8,5.6,5.5,,,,
2021-12-01,5.77,7.825,6.3,5.5,,,,
2022-02-01,,9.075,7.3,6.0,,,,
2022-03-01,,18.855,14.083333333333334,7.75,,,,
2022-04-01,,14.5,10.375,7.5,,,,
2022-06-01,,11.11,8.0,7.0,6.25,,,
2022-07-01,,10.975,7.5,6.5,6.0,,,
2022-09-01,,10.5,6.76,6.1,5.675,,,
2022-10-01,,10.58,7.1,6.4,6.0,,,
2022-12-01,,10.6,7.3,6.6,6.0,,,
2023-02-01,,,7.470000000000001,6.75,6.0,,,
2023-03-01,,,7.5,6.775,6.05,,,
2023-04-01,,,7.5,7.0,6.0,,,
2023-06-01,,,7.5,7.0,6.0,,,
2023-07-01,,,7.9,7.7,6.58,,,
2023-09-01,,,9.3,10.0,7.699999999999999,6.5,,
2023-10-01,,,9.765,12.559999999999999,8.20890410958904,6.5,,
2023-12-01,,,9.945,14.0,9.0,7.0,,
2024-02-01,,,,13.9,9.16,7.4,,
2024-03-01,,,,14.502739726027396,9.4,7.5,,
2024-04-01,,,,14.91,10.350000000000001,8.05,,
2024-05-01,,,,15.9,12.4166666666666,9.375,,
2024-07-01,,,,16.846994535519126,15.0,10.64,8.0,
2024-09-01,,,,17.1424043715847,16.05,11.5,8.55,
2024-10-01,,,,17.3,17.958333333333332,12.45,9.0,
2024-12-01,,,,17.549590163934425,21.29,14.55,10.350000000000001,
2025-02-01,,,,,20.495890410958904,15.0,10.4,
2025-03-01,,,,,20.05,14.291666666666664,10.0,
2025-04-01,,,,,20.0,14.25,9.729166666666668,
2025-05-01,,,,,20.0,14.15,10.0,
2025-07-01,,,,,19.323387096774194,13.75,10.168847634702793,8.5
2025-09-01,,,,,18.97,13.2,10.337695269405588,8.5
2025-10-01,,,,,19.2,13.649999999999999,10.0,9.0
2025-12-01,,,,,19.18904109589041,14.094086021505376,10.3,8.85
2026-02-01,,,,,,14.120000000000001,10.408333333333333,9.0
2026-03-01,,,,,,14.0,10.3,8.85
2026-04-01,,,,,,14.103424657534246,10.672945205479452,9.0
